model,seed,missing_type,position,ratio,n,clean_accuracy,clean_macro_f1,clean_weighted_f1,clean_mae,clean_pearson,gap_accuracy,gap_macro_f1,gap_weighted_f1,gap_mae,gap_pearson,delta_macro_f1_clean_minus_gap,delta_mae_gap_minus_clean
M0,1729,audio,early,0.1,715,0.6335664335664336,0.6003974535384574,0.628060406233534,0.6170394200134788,0.6345134385194822,0.6321678321678321,0.5988803569938662,0.6266575443466658,0.6180642844181039,0.63513994045357,0.001517096544591201,0.0010248644046251254
M0,2718,audio,early,0.1,715,0.6307692307692307,0.5846602817524914,0.6148351089086143,0.5850616864277167,0.6514378907109494,0.6293706293706294,0.5824212331832846,0.612947471809206,0.5850550929100702,0.6517688638938903,0.0022390485692067585,-6.593517646535929e-06
M0,31415,audio,early,0.1,715,0.6153846153846154,0.5482163712010347,0.5863161255043784,0.6312396174716809,0.6361066028165463,0.6153846153846154,0.5483760026924887,0.5864944359672374,0.6328046056331246,0.6356169388676148,-0.00015963149145392652,0.0015649881614436811
M1,1729,audio,early,0.1,715,0.6293706293706294,0.5993311394338793,0.6249942312107749,0.5964291707977288,0.6410823753701124,0.6237762237762238,0.5915389410626313,0.6180758213383504,0.5980390080633423,0.6397654981367671,0.007792198371248005,0.0016098372656134785
M1,2718,audio,early,0.1,715,0.6181818181818182,0.5502617628658918,0.5880361426244011,0.5868322220370434,0.6450125446132786,0.6223776223776224,0.5516579911316754,0.5904920989941234,0.5871343542938935,0.6446027903396869,-0.0013962282657835612,0.00030213225685005174
M1,31415,audio,early,0.1,715,0.6181818181818182,0.54598652630755,0.5853848103050912,0.6369708476573477,0.6431856731586778,0.6181818181818182,0.5442703165031104,0.5842650736836359,0.6375751557942297,0.6432480202035649,0.001716209804439539,0.0006043081368820591
M0,1729,audio,early,0.2,715,0.6335664335664336,0.6003974535384574,0.628060406233534,0.6170394200134788,0.6345134385194822,0.6377622377622377,0.6058129432481264,0.6325400968550057,0.6167595627131527,0.6369899173521472,-0.005415489709668986,-0.0002798573003260918
M0,2718,audio,early,0.2,715,0.6307692307692307,0.5846602817524914,0.6148351089086143,0.5850616864277167,0.6514378907109494,0.6307692307692307,0.5835546173923046,0.6139708317033071,0.5841097207046342,0.6525408052894546,0.0011056643601867755,-0.0009519657230825374
M0,31415,audio,early,0.2,715,0.6153846153846154,0.5482163712010347,0.5863161255043784,0.6312396174716809,0.6361066028165463,0.6195804195804195,0.5546417379420844,0.5916040911092866,0.6317534367759041,0.6364752009205731,-0.006425366741049654,0.0005138193042232286
M1,1729,audio,early,0.2,715,0.6293706293706294,0.5993311394338793,0.6249942312107749,0.5964291707977288,0.6410823753701124,0.627972027972028,0.5962503968381144,0.6222402804790506,0.5976095199295144,0.6401244392578472,0.0030807425957648515,0.001180349131785552
M1,2718,audio,early,0.2,715,0.6181818181818182,0.5502617628658918,0.5880361426244011,0.5868322220370434,0.6450125446132786,0.6251748251748251,0.554419811387885,0.5930414954606212,0.5866032309989752,0.64494949428663,-0.004158048521993196,-0.00022899103806828247
M1,31415,audio,early,0.2,715,0.6181818181818182,0.54598652630755,0.5853848103050912,0.6369708476573477,0.6431856731586778,0.6167832167832168,0.5416073586719311,0.5820779348616858,0.6369826682416683,0.6432650200890605,0.0043791676356188525,1.1820584320587635e-05
M0,1729,audio,early,0.3,715,0.6335664335664336,0.6003974535384574,0.628060406233534,0.6170394200134788,0.6345134385194822,0.6405594405594406,0.6084250573730324,0.6352972894641705,0.615007516593262,0.6390252810915731,-0.008027603834575014,-0.002031903420216752
M0,2718,audio,early,0.3,715,0.6307692307692307,0.5846602817524914,0.6148351089086143,0.5850616864277167,0.6514378907109494,0.6251748251748251,0.578872400838665,0.6090897545660924,0.583630381936494,0.6536170900998282,0.0057878809138264264,-0.0014313044912227513
M0,31415,audio,early,0.3,715,0.6153846153846154,0.5482163712010347,0.5863161255043784,0.6312396174716809,0.6361066028165463,0.6223776223776224,0.5585249232945194,0.5950306112282359,0.6298655567225069,0.6380309958556735,-0.01030855209348469,-0.0013740607491740109
M1,1729,audio,early,0.3,715,0.6293706293706294,0.5993311394338793,0.6249942312107749,0.5964291707977288,0.6410823753701124,0.6307692307692307,0.5995463273606698,0.6252193290753529,0.5976516374425923,0.6403940530693574,-0.00021518792679053877,0.0012224666448634736
